date,interest_rate,m4_moneySupply,net_lending_privateSector,net_lending_publicSector,bond_issuance,bond_repayment,change_in_reserves
01/01/2012,,2072318,480348,428069,,,
01/02/2012,,,482200,436085,,,
01/03/2012,,,481954,451738,43238,8647,38368
01/04/2012,,2069623,482798,461220,,,
01/05/2012,,,487611,493628,,,
01/06/2012,,,460883,484630,52117,-21760,25934
01/07/2012,,2080057,463845,499760,,,
01/08/2012,,,444077,505427,,,
01/09/2012,,,449429,509758,61994,-7247,34087
01/10/2012,,2090210,428885,517870,,,
01/11/2012,,,441847,523165,,,
01/12/2012,,,445884,507095,74829,-33169,13391
01/01/2013,,2096071,475784,508994,,,
01/02/2013,,,492967,511285,,,
01/03/2013,,,498336,518767,51165,5794,3009
01/04/2013,,2097970,504284,521185,,,
01/05/2013,,,528626,514219,,,
01/06/2013,,,491163,506066,51875,-15708,11046
01/07/2013,,2144180,473792,514640,,,
01/08/2013,,,466072,507724,,,
01/09/2013,,,446532,509607,107862,-48235,5364
01/10/2013,,2104825,449288,520998,,,
01/11/2013,,,445891,520574,,,
01/12/2013,,,433801,511124,107921,-22007,3724
01/01/2014,,2115609,437772,525064,,,
01/02/2014,,,426854,528237,,,
01/03/2014,,,408748,518216,132503,-71205,1513
01/04/2014,,2111754,422315,521226,,,
01/05/2014,,,419462,524329,,,
01/06/2014,,,394052,519083,52431,-4348,3764
01/07/2014,,2111432,388176,523720,,,
01/08/2014,,,385850,541362,,,
01/09/2014,,,393276,522059,100329,-17748,-11673
01/10/2014,,2103454,383787,545343,,,
01/11/2014,,,396103,566457,,,
01/12/2014,,,363262,568363,65868,18806,8155
01/01/2015,,2110567,377258,584054,,,
01/02/2015,,,377525,556720,,,
01/03/2015,,,382389,557516,107134,-21811,4525
01/04/2015,,2111099,389311,549464,,,
01/05/2015,,,363496,555383,,,
01/06/2015,,,361946,547414,53823,25245,10413
01/07/2015,,2099304,351619,561216,,,
01/08/2015,,,361806,571617,,,
01/09/2015,,,361449,566370,79330,-22161,-6898
01/10/2015,,2115160,353543,564345,,,
01/11/2015,,,349750,572646,,,
01/12/2015,,,340677,557816,51387,26927,-2769
01/01/2016,,2134784,362822,570313,,,
01/02/2016,,,389047,583284,,,
01/03/2016,,,370327,576639,64333,25738,8243
01/04/2016,,2188885,377230,573771,,,
01/05/2016,,,373330,577827,,,
01/06/2016,,,410067,600650,66631,29794,2032
01/07/2016,,2228792,407885,614288,,,
01/08/2016,,,408933,643532,,,
04/08/2016,0.25,,,,,,
01/09/2016,,,392415,632388,72341,42776,4802
01/10/2016,,2246155,402457,629874,,,
01/11/2016,,,407787,632416,,,
01/12/2016,,,376879,642309,79672,26519,46609
01/01/2017,,2292226,398354,627113,,,
